Case_Year,Incident_DateTime,Borough,Battalion,Community_District,Precinct,Incident_Classification,Cause_Fire_Description,Fire_Code_Category
2020,10/15/2020 02:04:36 AM,Brooklyn,43,13,060,MD Residential Structure,Electrical Wiring,Electrical
2020,10/15/2020 03:06:56 AM,Queens,53,13,105,PD Residential Structure,Power Strip,Electrical
2020,10/15/2020 03:41:10 AM,Queens,45,01,114,Vehicle,Incendiary,Incendiary
2020,10/15/2020 07:27:45 AM,Bronx,15,12,047,PD Residential Structure,Permanent Heater - Gas,Heaters
2020,10/15/2020 04:30:18 PM,Queens,49,01,114,Commercial Structure,Heat or Sparks from Friction,Hot Objects
2020,10/15/2020 05:59:24 PM,Queens,50,06,112,MD Residential Structure,Stove  - Natural Gas,Appliances
2020,10/15/2020 08:22:16 PM,Manhattan,10,11,023,MD Residential Structure,Smoking (Cigarette/Cigar),Smoking
2020,10/15/2020 08:43:51 PM,Bronx,14,01,040,MD Residential Structure,Candle,Open Flame
2020,10/15/2020 11:52:25 PM,Queens,45,02,108,Vehicle,Other,Other
2020,10/16/2020 02:35:00 AM,Queens,50,08,107,Outside Rubbish,Incendiary,Incendiary
2020,10/16/2020 02:43:03 AM,Queens,50,08,107,Outside Rubbish,Incendiary,Incendiary
2020,10/16/2020 02:50:00 AM,Queens,50,08,107,Outside Rubbish,Incendiary,Incendiary
2020,10/16/2020 05:22:39 AM,Bronx,17,03,042,MD Residential Structure,Electrical Wiring,Electrical
2020,10/16/2020 05:31:17 AM,Brooklyn,44,03,081,Vehicle,Preliminary Investigation Only,Other
2020,10/16/2020 05:42:10 AM,Bronx,15,12,047,MD Residential Structure,Stove/Cooking - Other,Cooking Carelessness
2020,10/16/2020 03:08:10 PM,Brooklyn,33,14,070,MD Residential Structure,Candle,Open Flame
2020,10/16/2020 03:27:53 PM,Manhattan,10,08,019,MD Residential Structure,Extension Cord,Electrical
2020,10/16/2020 05:24:04 PM,Brooklyn,42,12,066,PD Residential Structure,Other Appliance,Appliances
2020,10/16/2020 06:40:51 PM,Brooklyn,57,03,079,No Fire,Preliminary Investigation Only,Other
2020,10/17/2020 12:16:16 AM,Brooklyn,57,02,088,MD Residential Structure,Exothermic Chemical Reaction,Other
2020,10/17/2020 06:37:57 AM,Brooklyn,40,12,066,PD Residential Structure,Electrical Wiring,Electrical
2020,10/17/2020 07:35:51 AM,Queens,54,13,105,PD Residential Structure,Permanent Heater - Oil,Heaters
2020,10/17/2020 08:33:36 AM,Bronx,19,05,046,MD Residential Structure,Other - Electrical,Electrical
2020,10/17/2020 09:58:06 AM,Brooklyn,31,02,088,Commercial Structure,Electrical Wiring,Electrical
2020,10/17/2020 10:26:34 AM,Brooklyn,39,05,075,Commercial Structure,Electrical Wiring,Electrical
2020,10/17/2020 01:01:31 PM,Staten Island,22,01,121,Construction Trailer,Electrical Wiring,Electrical
2020,10/17/2020 01:46:40 PM,Brooklyn,31,02,088,MD Residential Structure,Other - Electrical,Electrical
2020,10/17/2020 02:32:00 PM,Manhattan,13,12,034,Religious Structure,Incendiary - Reckless Use of Open Flame,Incendiary
2020,10/17/2020 03:43:42 PM,Queens,47,14,100,PD Residential Structure,Hard Wire Outlet,Electrical
2020,10/17/2020 07:58:10 PM,Manhattan,12,10,028,MD Residential Structure,Threat to Burn,No Fire
2020,10/18/2020 12:16:28 AM,Bronx,18,03,042,MD Residential Structure,Incendiary,Incendiary
2020,10/18/2020 03:19:26 AM,Manhattan,16,10,032,Vehicle,Incendiary,Incendiary
2020,10/18/2020 03:20:16 AM,Brooklyn,44,16,073,MD Residential Structure,Stove/Cooking - Stove,Cooking Carelessness
2020,10/18/2020 08:35:42 AM,Bronx,26,03,042,MD Residential Structure,Smoking (Cigarette/Cigar),Smoking
2020,10/18/2020 10:58:32 AM,Bronx,20,11,049,MD Residential Structure,Extension Cord,Electrical
2020,10/18/2020 12:14:18 PM,Brooklyn,58,18,069,PD Residential Structure,Smoking (Cigarette/Cigar),Smoking
2020,10/18/2020 05:02:00 PM,Bronx,15,12,047,MFA,MFA,No Fire
2020,10/18/2020 06:13:29 PM,Bronx,19,05,046,MD Residential Structure,Candle,Open Flame
2020,10/18/2020 09:37:21 PM,Queens,46,06,112,Garage/Shed,Vehicle Wiring,Electrical
2020,10/18/2020 10:45:59 PM,Queens,47,14,100,Commercial Structure,Power Strip,Electrical
2020,10/18/2020 11:52:06 PM,Staten Island,21,01,120,MD Residential Structure,Incendiary,Incendiary
2020,10/19/2020 12:39:52 AM,Bronx,14,01,040,MD Residential Structure,Electrical Wiring,Electrical
2020,10/19/2020 08:20:24 AM,Manhattan,07,04,014,Hotel,Incendiary,Incendiary
2020,10/19/2020 08:16:09 PM,Bronx,15,12,047,Commercial Structure,Other - Electrical,Electrical
2020,10/19/2020 09:20:36 PM,Manhattan,,06,013,No Fire,MFA,No Fire
2020,10/20/2020 01:46:00 AM,Brooklyn,38,09,071,Commercial Structure,Incendiary - Combustible Material,Incendiary
2020,10/20/2020 12:25:34 PM,Brooklyn,38,09,071,MD Residential Structure,Heat from Light Bulb,Hot Objects
2020,10/20/2020 01:29:39 PM,Brooklyn,43,13,060,MD Residential Structure,Electrical Wiring,Electrical
2020,10/20/2020 02:11:08 PM,Brooklyn,57,08,077,MD Residential Structure,Electrical Wiring,Electrical
2020,10/20/2020 03:00:00 PM,Staten Island,21,02,122,Other,Juvenile Firesetter Intervention,Other
2020,10/20/2020 04:49:14 PM,Queens,50,12,103,MD Residential Structure,Food on the Stove,Cooking Carelessness
2020,10/20/2020 07:51:18 PM,Brooklyn,33,18,063,Vehicle,Motors - Fossil Fuel Powered,Motors
2020,10/20/2020 08:39:00 PM,Brooklyn,37,04,083,Outside Rubbish,Incendiary,Incendiary
2020,10/21/2020 12:39:59 AM,Queens,54,12,103,PD Residential Structure,Candle,Open Flame
2020,10/21/2020 06:49:46 AM,Queens,52,07,110,Vehicle,Incendiary,Incendiary
2020,10/21/2020 09:00:38 AM,Brooklyn,41,17,067,MD Residential Structure,Electrical Wiring,Electrical
2020,10/21/2020 09:32:29 AM,Queens,54,13,105,MD Residential Structure,Food on the Stove,Cooking Carelessness
2020,10/21/2020 11:09:57 AM,Manhattan,10,08,019,MD Residential Structure,Preliminary Investigation Only,Other
2020,10/21/2020 12:53:59 PM,Brooklyn,43,13,060,Outside Rubbish,Incendiary,Incendiary
2020,10/21/2020 01:11:44 PM,Staten Island,21,02,122,MD Residential Structure,Incense,Hot Objects
2020,10/21/2020 02:15:00 PM,Queens,46,04,110,Other,Preliminary Investigation Only,Other
